%time,field.header.seq,field.header.stamp,field.value0,field.value1,field.value2,field.value3,field.value4,field.value5,field.value6,field.value7,field.value8,field.value9,field.value10,field.value11
6774000000,1,6774000000,1500,1511,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
6798000000,2,6798000000,1500,1510,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
6814000000,3,6814000000,1500,1509,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
6870000000,4,6870000000,1500,1508,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
6980000000,5,6980000000,1500,1506,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
6996000000,6,6996000000,1500,1505,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7012000000,7,7012000000,1500,1504,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7022000000,8,7020000000,1500,1501,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7028000000,9,7028000000,1500,1500,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7036000000,10,7036000000,1500,1500,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7044000000,11,7044000000,1500,1500,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7240000000,12,7242000000,1500,1500,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7250000000,13,7250000000,1500,1509,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7258000000,14,7258000000,1500,1519,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7266000000,15,7266000000,1500,1522,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7274000000,16,7274000000,1500,1523,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7282000000,17,7282000000,1500,1526,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7298000000,18,7298000000,1500,1527,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7306000000,19,7306000000,1500,1530,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7314000000,20,7314000000,1500,1538,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7342000000,21,7342000000,1500,1539,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7348000000,22,7348000000,1500,1540,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7358000000,23,7356000000,1500,1543,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7372000000,24,7372000000,1500,1544,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7380000000,25,7380000000,1500,1547,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7388000000,26,7388000000,1500,1548,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7396000000,27,7396000000,1500,1550,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7426000000,28,7428000000,1500,1552,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
7474000000,29,7476000000,1500,1551,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
8694000000,30,8694000000,1500,1550,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
